,Ticker,MarketCap,AvgVol,Turnover
1205,PZC.L,1.497B,81840,95249536.2568
1206,QED.L,459.6M,350326,54730245.2162
1210,QRT.L,32.0M,1671,1061206.33254
1215,RAT.L,893.9M,19229,54322157.3923
1218,RBS.L,36.629B,8970059,3758350495.21
1219,RCDO.L,325.9M,14921,47330648.4866
1223,RDI.L,683.4M,1155157,784108.653886
1224,RDSA.L,152.0B,4056842,-
1225,RDSB.L,159.7B,3179956,8932605080
1226,RDW.L,957.4M,265535,123455519.411
1227,REC.L,73.3M,25667,1848321.47196
1233,REL.L,10.908B,2574177,2353963830.34
1237,REX.L,3.686B,1208636,693919684.937
1243,RGP.L,1.7M,32750,16835.0498066
1245,RGU.L,1.740B,671975,193926521.621
1251,RIO.L,57.964B,3462758,12137891344.9
1256,RMG.L,4.980B,1613094,2772787657.99
1259,RMV.L,2.141B,199724,465214652.668
1260,RNK.L,666.1M,58021,29388237.0741
1261,RNO.L,141.1M,48425,11404843.7189
1265,ROR.L,2.272B,82215,329718478.917
1267,RPC.L,1.052B,169485,114419675.47
1268,RPO.L,49.4M,323983,8977603.47776
1269,RPS.L,598.2M,115251,80731226.3838
1274,RRS.L,4.467B,292872,2132614328.36
1275,RSA.L,3.469B,2566422,304830.398627
1278,RSW.L,1.187B,35130,71017550.0077
1281,RTN.L,1.168B,149899,160830423.787
1282,RTO.L,2.042B,2067171,317251564.451
1284,RUS.L,559.4M,117426,298514.253495
1286,RWA.L,228.0M,8820,32283782.9465
1289,RYA.L,9.671B,2254212,2022382004.68
1291,SAB.L,53.646B,1729311,25880683.9592
1302,SBRY.L,5.973B,6556891,2404310924.71
1303,SBS.L,39.5M,633865,4104683.40334
1306,SCL.L,127.5B,83,-
1311,SDL.L,263.7M,33647,81020995.0664
1313,SDR.L,6.835B,256063,633500019.397
1314,SDRC.L,5.292B,31488,60582345.3091
1315,SDY.L,260.4M,268437,93663998.3506
1318,SEPU.L,206.5M,21126,20192147.5986
1322,SFI.L,238.0M,1875,73262.7193058
1323,SFR.L,165.9M,53412,16849277.2129
1324,SGC.L,2.183B,381971,170724454.074
1325,SGE.L,4.220B,2024024,810506619.603
1328,SGP.L,839.7M,186984,243468869.044
1331,SHFT.L,6.5M,12402,1652583.15048
1333,SHI.L,1.111B,1190281,380742478.734
1335,SHP.L,26.510B,1777822,5199403989.59
1337,SIA.L,1.391B,227423,127599273.104
1339,SIE.L,81.788B,114843,2935490650.33
1340,SIG.L,5.142B,7227,61742762.4938
1341,SIGB.L,210.1M,85262,6779045.4133
1342,SIHL.L,376.1M,355534,220648.972023
1345,SIV.L,258.7M,54902,38227356.3603
1347,SKG.L,3.802B,239516,431228870.219
1348,SKP.L,114.2M,148178,32909999.9787
1350,SKS.L,413.6M,330257,87877664.0264
1358,SMDR.L,341.0M,750544,88854075.4223
1359,SMDS.L,2.672B,1337489,609822372.129
1360,SMIN.L,5.045B,592082,1005697217.77
1361,SMJ.L,45.9M,4452,1023171.66322
1363,SMP.L,778.8M,144294,98980665.5276
1365,SMWH.L,1.292B,200844,273573783.596
1370,SNR.L,1.127B,346879,114482357.943
1379,SON.L,1.679T,355137,-
1383,SPD.L,4.159B,1720538,884169251.707
1391,SPO.L,187.4M,92953,23527573.2363
1394,SPRT.L,514.5M,292257,71705932.0346
1398,SPT.L,575.1M,411211,112215603.541
1399,SPX.L,2.054B,66491,286952950.026
1408,SRP.L,1.775B,3269920,1166962521.28
1412,SSE.L,15.236B,1702847,3070524177.84
1416,STAN.L,29.128B,3553536,6790270647.89
1420,STE.L,7.9M,94,52896.0697467
1424,STHR.L,481.4M,19542,19779183.4731
1426,STJ.L,3.922B,943615,772178199.859
1430,STOB.L,454.2M,150481,74148399.7538
1432,STVG.L,142.5M,91016,30997184.8252
1433,STY.L,5.6M,17119,2076962.8522
1438,SUS.L,216.2M,543,7171022.21122
1441,SVI.L,968.3M,391959,1767726.11191
1444,SVS.L,809.2M,273290,106061818.172
1445,SVT.L,4.545B,408265,1149391091.15
1451,SXS.L,2.634B,185771,437015328.886
1456,SYR.L,813.3M,103720,133875603.777
1459,TALK.L,2.944B,977868,384205606.358
1460,TALV.L,109.8M,4964080,27045229.5161
1463,TATE.L,3.100B,1394270,1013550855.42
1467,TCG.L,1.903B,5829500,1161879037.13
1470,TCY.L,1.530B,597890,549473861.807
1471,TDE.L,57.090B,348110,-
1476,TEP.L,1.061B,104120,122614399.959
1477,TET.L,89.8M,96621,25810532.7603
1484,THT.L,71.3M,372008,35953125.9989
1486,TIG.L,404.1M,2960420,116124707.973
1492,TLPR.L,580.4M,290339,81665301.1213
1493,TLW.L,7.674B,1566570,1964704.02619
1503,TNI.L,347.4M,268897,51710679.7461
1505,TON.L,5.6M,11371,620960.899434
1513,TPK.L,3.952B,726043,1183845390.49
1514,TPL.L,58.4M,376888,9769476.00296
1516,TPT.L,199.8M,282266,49777419.3621
1520,TRB.L,161.4M,183898,18869813.135
1522,TRD.L,1.5M,1786,174865.833061
1524,TRI.L,139.9M,226732,18060005.2946
1528,TRK.L,42.8M,245682,3668608.61108
1530,TRS.L,226.2M,36860,23012753.351
1534,TSCO.L,23.103B,19315600,5678472075.72
1538,TTA.L,119.3B,644842,2445334997.34
1539,TTG.L,299.5M,388818,67223651.826
1545,TXH.L,6.2M,2638,205328.591936
1548,TYMN.L,457.6M,49779,60083600.1567
1551,TYT.L,17.694T,46145,42120111336.2
1554,UBM.L,1.606B,481666,426236865.845
1557,UDG.L,822.7M,478019,135088508.601
1561,UKM.L,321.2M,22070,18809657.7091
1563,ULE.L,1.284B,85169,150691570.666
1565,ULVR.L,75.005B,2515920,6018616886.5
1569,USY.L,1.481B,1,5678.75355108
1570,UTG.L,793.6M,282970,93250946.3329
1572,UTV.L,199.4M,112287,48296115.4607
1577,VCT.L,1.424B,84713,174796355.423
1578,VEC.L,515.6M,885433,87803207.3591
1579,VED.L,3.010B,491398,744325422.122
1587,VIY.L,4.8M,12556400,7106613.44164
1591,VLX.L,48.9M,211076,13194473.1107
1595,VOD.L,51.360B,65037100,11898073666.7
1600,VSVS.L,1.229B,295805,145994585.757
1601,VTC.L,248.3M,227579,61641097.3744
1603,VZC.L,202.8B,161203,3703753227.53
1610,WCW.L,17.8M,28593,2215282.49011
1612,WEIR.L,5.558B,617781,1538206576.63
1618,WIL.L,166.2M,93177,12939581.0474
1619,WIN.L,160.4M,122922,22670464.4028
1622,WLF.L,269.8M,522319,41554635.7425
1624,WMH.L,2.816B,4424720,1608252837.58
1627,WOS.L,8.593B,730210,2299230080.72
1628,WPP.L,16.661B,3113338,4189817324.58
1634,WSL.L,4.8M,168,1041.71415781
1635,WSP.L,9.7M,2,44038.4096917
1638,WTB.L,7.873B,452790,1607444881.52
1642,WTM.L,15.8M,13237,5458354.8837
1646,XAR.L,403.1M,217445,149547256.509
1648,XCH.L,357.3M,223288,53676033.6453
1653,XPL.L,4.7M,28440,2134270.40318
1654,XPP.L,276.7M,62886,58315806.4599
1664,ZCC.L,316.5M,41,2800.91404209
1665,ZHEH.L,2.411B,56925,1133555.39195
1671,ZTF.L,90.6M,36561,5344810.03753
