Ticker,MarketCap,AvgVol,Close,Turnover
CPSI,694.7M,117441,61.5283116883,7225946.45298564
CPSL,3.9M,17997,1.606969697,28920.6336363691
CPSS,191.2M,130769,7.2775757576,951681.304242979
CPST,495.8M,6011330,1.5042857143,9042757.84288291
CPWR,2.182B,1447440,10.6287982833,15384547.7871798
CRAI,225.2M,38289,20.1206866953,770400.972876342
CRAY,974.3M,435677,28.0512987013,12221305.6642863
CRDC,112.9M,307580,1.1190909091,344209.981817902
CRDS,49.9M,108273,1.9941991342,215917.922857237
CREE,5.795B,2252360,58.4281385281,131601202.095151
CREG,112.8M,95671,3.0452813853,291345.115411123
CRESY,912.9M,106895,9.9980952381,1068746.3904767
CRIS,142.6M,692794,3.110952381,2155249.14380787
CRMB,3.5M,112342,0.7804761905,87680.2561904548
